time	V(c,n)
2.41873e-02	1.10886e+02
2.41880e-02	1.11016e+02
2.42302e-02	1.04339e+02
2.42770e-02	9.64010e+01
2.43316e-02	8.63536e+01
2.43793e-02	7.71757e+01
2.43800e-02	7.75098e+01
2.44203e-02	1.10076e+02
2.44210e-02	1.10166e+02
2.44675e-02	1.00322e+02
2.44680e-02	1.00605e+02
2.45123e-02	1.35380e+02
2.45130e-02	1.35453e+02
2.45687e-02	1.21970e+02
2.46203e-02	1.08725e+02
2.46893e-02	9.01782e+01
2.46900e-02	9.04586e+01
2.47423e-02	1.28697e+02
2.47430e-02	1.28732e+02
2.47803e-02	1.17984e+02
2.47810e-02	1.18251e+02
2.48371e-02	1.58005e+02
2.48380e-02	1.58128e+02
2.48859e-02	1.42809e+02
2.49360e-02	1.26070e+02
2.49996e-02	1.04195e+02
2.50000e-02	1.04306e+02
2.50643e-02	1.46514e+02
2.50650e-02	1.46497e+02
2.50943e-02	1.35878e+02
2.50950e-02	1.36094e+02
2.51429e-02	1.66537e+02
2.51623e-02	1.78705e+02
2.51630e-02	1.78668e+02
2.52287e-02	1.52419e+02
2.52580e-02	1.40368e+02
2.53103e-02	1.18532e+02
2.53110e-02	1.18710e+02
2.53841e-02	1.61466e+02
2.53850e-02	1.61480e+02
2.54083e-02	1.51380e+02
2.54090e-02	1.51546e+02
2.54647e-02	1.83014e+02
2.54873e-02	1.95522e+02
2.54880e-02	1.95434e+02
2.55330e-02	1.74345e+02
2.55800e-02	1.51754e+02
2.56203e-02	1.32167e+02
2.56210e-02	1.32297e+02
2.57041e-02	1.75287e+02
2.57050e-02	1.75240e+02
2.57233e-02	1.66090e+02
2.57240e-02	1.66209e+02
